Dado
Planos nacionais de desenvolvimento
Legislação nacional referente a indústria e outros dados
Legislação Estadual referente a indústria e outros dados
Dados referentes ao ABC paulista e planejamento
Dados referentes ao Sul Fluminense e planejamento
Relatórios setoriais da indústria
Notícias de jornais e outras fontes arquivísticas
